point,total_visit_count,positive_visit_count,median_positives_count,median_descent_slope,median_descent_depth,median_descent_length,median_mean_per_step_decrease,positive_prevalence
LF - 3 - e,1,1,6.0,-185.71428571428572,171.42857142857142,2.0,171.42857142857142,1.0
LF - 3 - i,1,1,4.0,-206.25,206.25,2.0,153.125,1.0
LH - 1 - c,1,0,,,,,,0.0
LH - 1 - e,1,0,,,,,,0.0
LH - 2 - c,1,1,3.0,-400.0,275.0,2.0,275.0,1.0
LH - 3 - c,1,0,,,,,,0.0
LH - 3 - e,1,0,,,,,,0.0
LH - 4 - e,1,0,,,,,,0.0
RH - 2 - c,1,0,,,,,,0.0
RH - 2 - e,1,0,,,,,,0.0
