point,total_visit_count,positive_visit_count,median_positives_count,median_descent_slope,median_descent_depth,median_descent_length,median_mean_per_step_decrease,positive_prevalence
LF - 5 - e,1,1,1.0,-63.63636363636363,281.8181818181818,5.0,70.45454545454545,1.0
LF - 5 - i,1,0,,,,,,0.0
LH - 3 - i,1,0,,,,,,0.0
LH - 4 - e,1,0,,,,,,0.0
LH - 5 - e,1,0,,,,,,0.0
RF - 5 - e,1,1,1.0,-218.1818181818182,218.18181818181822,2.0,218.18181818181822,1.0
RH - 2 - i,1,0,,,,,,0.0
RH - 3 - i,1,0,,,,,,0.0
RH - 4 - e,1,0,,,,,,0.0
RH - 5 - e,1,1,1.0,-84.48275862068961,168.9655172413792,3.0,84.4827586206896,1.0
