point,total_visit_count,positive_visit_count,median_positives_count,median_descent_slope,median_descent_depth,median_descent_length,median_mean_per_step_decrease,positive_prevalence
LF - 1 - e,1,1,5.0,-344.4444444444445,300.0,2.0,75.0,1.0
LF - 4 - e,1,0,,,,,,0.0
LF - 5 - e,1,1,1.0,,0.0,1.0,0.0,1.0
LF - 5 - i,1,0,,,,,,0.0
RF - 1 - e,1,1,1.0,-199.99999999999997,200.0,2.0,200.0,1.0
RF - 5 - e,1,1,2.0,-142.85714285714283,142.85714285714286,2.0,71.42857142857143,1.0
RH - 1 - i,1,0,,,,,,0.0
RH - 2 - c,1,1,1.0,-505.8823529411766,505.8823529411765,2.0,505.8823529411765,1.0
